STATE,ST_CASE,PEDS,PERNOTMVIT,PERMVIT,VE_TOTAL,CITY,FullDate,DAY_WEEK,FullTime,NHS,ROUTE,TWAY_ID,LGT_COND,WEATHER,ArrivalAtScene,ArrivalAtHosp,DRUNK_DR,FATALS
51,510093,0,0,2,2,0,05-03-2015,5,18:10:00,1,1,I-81,1,4,18:21:00,88:88:00,0,1
51,510094,0,0,1,1,0,08-03-2015,1,12:25:00,1,1,I-64,1,10,12:32:00,88:88:00,0,1
51,510095,0,0,4,3,0,07-03-2015,7,14:30:00,1,2,US-17,1,10,99:99:00,99:99:00,1,1
51,510096,1,1,1,1,0,08-03-2015,1,20:17:00,0,4,CR-603,2,10,20:30:00,88:88:00,0,1
51,510097,1,1,1,1,0,05-03-2015,5,20:59:00,0,3,SR-143,2,3,21:04:00,21:13:00,0,1
51,510098,0,0,4,2,2330,24-01-2015,7,10:54:00,0,2,US-250,1,3,11:09:00,13:06:00,0,1
51,510099,1,1,1,1,1760,04-02-2015,4,05:23:00,0,3,SR-168,3,10,99:99:00,99:99:00,0,1
51,510100,0,0,1,2,0,24-02-2015,3,05:07:00,0,2,US-1,2,10,05:13:00,88:88:00,1,1
51,510101,0,0,1,1,0,14-03-2015,7,21:30:00,0,3,SR-35,2,10,99:99:00,88:88:00,1,1
51,510102,0,0,3,2,0,16-03-2015,2,21:30:00,0,2,US-11,2,10,21:46:00,22:10:00,0,1
51,510103,0,0,4,1,0,16-03-2015,2,00:30:00,0,4,CR-727,2,10,01:13:00,99:99:00,1,2
51,510104,0,0,5,2,0,14-03-2015,7,21:47:00,0,2,US-17,2,10,21:54:00,22:29:00,1,1
51,510105,0,0,1,1,0,13-03-2015,6,09:30:00,1,1,I-64,1,10,09:43:00,88:88:00,0,1
51,510106,0,0,1,1,0,18-03-2015,4,06:20:00,0,4,CR-644,2,10,99:99:00,88:88:00,1,1
51,510107,0,0,3,3,0,18-03-2015,4,17:00:00,1,1,I-295 NORTH,1,10,17:07:00,17:50:00,1,1
51,510108,1,1,1,1,1180,16-01-2015,6,20:58:00,0,6,N KING ST,3,10,21:01:00,21:25:00,1,1
51,510109,2,2,1,2,0,17-03-2015,3,18:38:00,1,3,SR-150,1,10,18:40:00,19:16:00,0,1
51,510110,0,0,1,1,0,20-03-2015,6,10:36:00,0,4,CR-659,1,10,10:59:00,88:88:00,0,1
51,510111,1,1,1,1,0,20-03-2015,6,00:14:00,0,4,CR-606,2,2,99:99:00,88:88:00,0,1
51,510112,0,0,1,1,0,10-03-2015,3,12:21:00,0,4,CR-643,1,2,99:99:00,99:99:00,0,1
51,510113,0,0,1,1,0,22-03-2015,1,14:50:00,0,3,SR-46,1,10,99:99:00,88:88:00,0,1
51,510114,0,0,2,1,1760,07-02-2015,7,02:22:00,0,3,SR-194,3,10,02:28:00,99:99:00,1,1
