STATE,ST_CASE,PVE_FORMS,VEH_NO,PFIRE,PDEATHS,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PVEH_SEV,PTOWED
4,40726,1,2,0,0,29-Oct,23:53:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,40,1999,0,Not_Applicable,No,Unknown,Unknown
4,40726,1,3,0,0,29-Oct,23:53:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,422,1999,0,Not_Applicable,No,Unknown,Unknown
5,50308,1,2,0,0,22-Aug,04:45:00,Not_Collision_with_Motor_Vehicle_in_Transport,2,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,884,2010,3,Tractor/Semi-Trailer,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
5,50308,1,3,0,0,22-Aug,04:45:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,884,2001,3,Tractor/Semi-Trailer,No,Functional_Damage,Not_Towed
5,50311,1,2,0,0,24-Aug,17:15:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,998,2004,0,Not_Applicable,No,Minor_Damage,Not_Towed
5,50341,2,3,0,0,15-Sep,18:49:00,Front-to-Rear,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,401,2002,0,Not_Applicable,No,Functional_Damage,Not_Towed
5,50358,2,3,0,0,15-Jun,08:01:00,Angle,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,473,2005,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
5,50413,1,2,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,46,2011,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,3,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,37,2007,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,4,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,403,2005,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,5,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,421,2010,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,6,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,421,2007,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,7,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,402,2012,0,Not_Applicable,No,Disabling_Damage,Not_Towed
5,50413,1,8,0,0,06-Nov,01:58:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,471,2001,0,Not_Applicable,No,Disabling_Damage,Not_Towed
