STATE,ST_CASE,PVE_FORMS,VEH_NO,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PHAZ_ID,PVEH_SEV,PTOWED,PFIRE,PDEATHS
6,60670,1,2,05-Apr,03:20,0,0,2,0,481,1999,0,0,1,0,2,3,0,0
6,60780,1,2,10-May,23:17,0,0,3,0,27,2009,0,0,1,0,4,8,0,0
6,60786,2,3,12-Apr,22:50,6,0,2,0,35,2005,0,0,1,0,2,5,0,0
6,60786,2,4,12-Apr,22:50,6,0,2,0,40,1991,0,0,1,0,2,5,0,0
6,60797,1,2,10-Apr,13:09,0,1,3,0,31,2006,0,0,1,0,6,2,0,0
6,60797,1,3,10-Apr,13:09,0,0,3,0,403,1995,0,0,1,0,2,5,0,0
6,60797,1,4,10-Apr,13:09,0,0,3,0,442,2003,0,0,1,0,6,2,0,0
6,60847,1,2,12-Apr,03:00,0,0,2,0,403,2008,0,0,1,0,6,2,0,0
6,60883,1,2,27-Apr,22:12,0,0,2,0,481,2012,0,0,1,0,2,5,0,0
6,60914,1,2,29-Apr,17:21,0,1,2,0,881,2002,2,1,1,0,2,3,0,0
6,60935,1,2,30-Apr,14:19,0,0,2,0,882,2009,3,1,1,0,0,5,0,0
6,60940,1,2,25-Apr,03:20,0,0,2,0,881,2013,3,7,1,0,4,5,0,0
6,60953,1,2,09-May,11:08,0,0,2,0,402,2004,0,0,1,0,6,2,0,0
6,60955,1,2,09-May,13:49,0,0,2,0,471,1983,0,0,1,0,6,5,0,0
6,60955,1,3,09-May,13:49,0,0,2,0,481,2000,0,0,1,0,2,5,0,0
6,60958,1,2,02-May,18:51,0,0,2,0,33,1997,0,0,1,0,2,5,0,0
6,60968,1,2,14-May,14:40,0,1,2,0,881,2009,3,6,1,0,2,5,0,0
6,60975,1,2,13-May,15:05,0,0,2,0,31,1983,0,0,1,0,2,5,0,0
6,60984,3,3,01-May,14:35,6,0,2,0,401,2002,0,0,1,0,4,5,0,0
6,61033,1,2,05-Jun,14:51,0,0,2,0,38,2011,0,0,1,0,4,3,0,0
6,61034,1,2,18-May,12:21,0,0,3,0,422,2010,0,0,1,0,2,5,0,0
6,61035,1,2,07-Jun,21:37,0,0,2,0,46,2005,0,0,1,0,4,5,0,0
6,61037,2,3,19-May,06:35,2,0,3,0,481,2007,0,0,1,0,2,5,0,0
6,61047,1,2,24-May,05:55,0,0,3,0,47,2011,0,0,1,0,6,2,0,0
6,61061,3,2,31-May,01:59,0,0,2,1,401,2013,0,0,1,0,4,5,0,0
6,61061,3,3,31-May,01:59,0,0,2,0,481,2003,0,0,1,0,2,5,0,0
6,61118,1,2,04-Jul,06:35,0,3,2,0,35,2014,0,0,1,0,6,2,0,1
6,61122,1,2,08-Jul,19:30,0,0,2,0,481,1997,0,0,1,0,2,3,0,0
6,61122,1,3,08-Jul,19:30,0,0,2,0,898,9999,2,1,1,0,9,3,0,0
6,61123,1,2,09-Jul,14:43,0,0,2,0,482,2006,0,0,1,0,6,5,0,0
6,61180,1,2,13-Jul,19:45,0,0,2,0,421,2000,0,0,1,0,4,3,0,0
6,61187,2,3,21-Jul,14:55,6,0,2,0,31,2014,0,0,1,0,6,2,0,0
6,61242,2,3,17-Jun,12:50,2,0,2,0,421,2000,0,0,1,0,0,5,0,0
6,61257,1,2,18-Jun,03:51,0,0,3,0,481,1999,0,0,1,0,2,5,0,0
6,61286,3,4,24-Jun,09:40,2,0,2,0,51,2005,0,0,1,0,0,5,0,0
6,61286,3,5,24-Jun,09:40,2,0,2,0,421,1990,0,0,1,0,6,2,0,0
6,61286,3,6,24-Jun,09:40,2,0,2,0,421,1998,0,0,1,0,4,5,0,0
6,61286,3,7,24-Jun,09:40,2,0,2,0,404,2005,0,0,1,0,6,2,0,0
6,61307,1,2,26-Apr,00:40,0,3,2,0,47,2015,0,0,1,0,6,2,0,0
6,61307,1,3,26-Apr,00:40,0,0,2,0,36,2002,0,0,1,0,4,3,0,0
6,61325,2,3,28-May,18:44,7,0,3,0,471,2006,0,0,1,0,2,5,0,0
6,61341,1,2,30-Jul,16:15,0,0,2,0,881,2015,3,4,1,0,2,5,0,0
6,61356,1,2,23-May,21:43,0,0,2,0,404,2010,0,0,1,0,8,5,0,0
